pps,bps,avg_size,tcp_ratio,udp_ratio,icmp_ratio,label
367,24612,67.06,1.0,0.0,0.0,1
7,2176,310.86,1.0,0.0,0.0,1
382,25212,66.0,1.0,0.0,0.0,1
382,22920,60.0,1.0,0.0,0.0,1
378,22680,60.0,1.0,0.0,0.0,1
360,23760,66.0,1.0,0.0,0.0,1
360,23760,66.0,1.0,0.0,0.0,1
367,24612,67.06,1.0,0.0,0.0,1
7,2176,310.86,1.0,0.0,0.0,1
360,23760,66.0,1.0,0.0,0.0,1
360,21600,60.0,1.0,0.0,0.0,1
395,26070,66.0,1.0,0.0,0.0,1
384,25632,66.75,1.0,0.0,0.0,1
7,2176,310.86,1.0,0.0,0.0,1
378,22680,60.0,1.0,0.0,0.0,1
365,24090,66.0,1.0,0.0,0.0,1
365,21900,60.0,1.0,0.0,0.0,1
360,23760,66.0,1.0,0.0,0.0,1
360,23760,66.0,1.0,0.0,0.0,1
363,21792,60.03,1.0,0.0,0.0,1
364,24420,67.09,1.0,0.0,0.0,1
5,2044,408.8,1.0,0.0,0.0,1
360,23760,66.0,1.0,0.0,0.0,1
384,25344,66.0,1.0,0.0,0.0,1
364,21840,60.0,1.0,0.0,0.0,1
351,23166,66.0,1.0,0.0,0.0,1
327,19620,60.0,1.0,0.0,0.0,1
429,25740,60.0,1.0,0.0,0.0,1
385,25410,66.0,1.0,0.0,0.0,1
360,23760,66.0,1.0,0.0,0.0,1
367,24612,67.06,1.0,0.0,0.0,1
7,2176,310.86,1.0,0.0,0.0,1
361,23826,66.0,1.0,0.0,0.0,1
360,21600,60.0,1.0,0.0,0.0,1
397,26202,66.0,1.0,0.0,0.0,1
382,22920,60.0,1.0,0.0,0.0,1
362,23892,66.0,1.0,0.0,0.0,1
385,25692,66.73,1.0,0.0,0.0,1
7,2176,310.86,1.0,0.0,0.0,1
360,23760,66.0,1.0,0.0,0.0,1
360,21600,60.0,1.0,0.0,0.0,1
360,23760,66.0,1.0,0.0,0.0,1
