pps,bps,avg_size,tcp_ratio,udp_ratio,icmp_ratio,label
5425,5783050,1066.0,0.0,1.0,0.0,1
5348,5720568,1069.6649214659685,0.0,0.9917726252804787,0.00018698578908002991,1
44,66504,1511.4545454545455,0.0,0.0,0.022727272727272728,0
5403,5768894,1067.720525633907,0.0,0.9961132704053304,0.0,1
5311,5661526,1066.0,0.0,1.0,0.0,1
5356,5709496,1066.0,0.0,1.0,0.0,1
40,60560,1514.0,0.0,0.0,0.025,0
5380,5735080,1066.0,0.0,1.0,0.0,1
44,66504,1511.4545454545455,0.0,0.0,0.022727272727272728,0
5408,5784528,1069.6242603550295,0.0,0.9918639053254438,0.0001849112426035503,1
5398,5773868,1069.630974434976,0.0,0.9918488329010745,0.0001852537977028529,1
5435,5811518,1069.2765409383624,0.0,0.9926402943882244,0.0,1
5399,5763846,1067.5765882570847,0.0,0.9964808297832932,0.00018521948508983145,1
5349,5708754,1067.2563095905778,0.0,0.997195737521032,0.0001869508319312021,1
1,66,66.0,1.0,0.0,0.0,0
5396,5752136,1066.0,0.0,1.0,0.0,1
5381,5736146,1066.0,0.0,1.0,0.0,1
5378,5745940,1068.4157679434734,0.0,0.9946076608404611,0.0001859427296392711,1
5273,5621018,1066.0,0.0,1.0,0.0,1
5341,5693506,1066.0,0.0,1.0,0.0,1
44,66504,1511.4545454545455,0.0,0.0,0.022727272727272728,0
5373,5727618,1066.0,0.0,1.0,0.0,1
5357,5710562,1066.0,0.0,1.0,0.0,1
