pps,bps,avg_size,tcp_ratio,udp_ratio,icmp_ratio,label
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
453,667064,1472.55,0.03,0.0,0.02,1
13,2355,181.15,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
6,1790,298.33,1.0,0.0,0.0,1
446,666505,1494.41,0.01,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
446,666505,1494.41,0.01,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
446,666505,1494.41,0.01,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
446,666505,1494.41,0.01,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666927,1495.35,0.0,0.01,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
8,1922,240.25,1.0,0.0,0.0,1
458,670279,1463.49,0.01,0.03,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
6,1796,299.33,1.0,0.0,0.0,1
447,666565,1491.2,0.02,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
447,666565,1491.2,0.02,0.0,0.02,1
8,1916,239.5,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
6,1790,298.33,1.0,0.0,0.0,1
446,666505,1494.41,0.01,0.0,0.02,1
442,666220,1507.29,0.0,0.0,0.03,1
7,1856,265.14,1.0,0.0,0.0,1
446,666505,1494.41,0.01,0.0,0.02,1
441,665630,1509.37,0.0,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
446,666505,1494.41,0.01,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
446,666505,1494.41,0.01,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
446,666505,1494.41,0.01,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
446,666505,1494.41,0.01,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
446,666505,1494.41,0.01,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
446,666505,1494.41,0.01,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
446,666505,1494.41,0.01,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
446,666505,1494.41,0.01,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
446,666505,1494.41,0.01,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
446,666505,1494.41,0.01,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
446,666505,1494.41,0.01,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
447,666565,1491.2,0.02,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
10,2585,258.5,0.7,0.3,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
446,666505,1494.41,0.01,0.0,0.02,1
7,1856,265.14,1.0,0.0,0.0,1
5007,5337462,1066.0,0.0,1.0,0.0,1
51,28330,555.49,0.08,0.0,0.92,1
4629,4934514,1066.0,0.0,1.0,0.0,1
100,59000,590.0,0.0,0.0,1.0,1
5104,5440864,1066.0,0.0,1.0,0.0,1
4832,5150912,1066.0,0.0,1.0,0.0,1
151,88775,587.91,0.01,0.0,0.99,1
4776,5091216,1066.0,0.0,1.0,0.0,1
126,73816,585.84,0.01,0.0,0.99,1
52,30680,590.0,0.0,0.0,1.0,1
5013,5343858,1066.0,0.0,1.0,0.0,1
4786,5101876,1066.0,0.0,1.0,0.0,1
37,21830,590.0,0.0,0.0,1.0,1
5036,5367489,1065.82,0.0,1.0,0.0,1
5139,5478174,1066.0,0.0,1.0,0.0,1
